id;id_fantoir;numero;rep;nom_voie;code_postal;code_insee;nom_commune;code_insee_ancienne_commune;nom_ancienne_commune;x;y;lon;lat;alias;nom_ld;libelle_acheminement;nom_afnor;source_position;source_nom_voie
51108139000001;511081390;1;;Rue du Général Féry;51000;51108;Châlons-en-Champagne;;;800303.09;6874524.4;4.369878;48.962841;;;CHALONS EN CHAMPAGNE;RUE DU GENERAL FERY;commune;commune
51108140000001;511081400;1;;Rue du Général Giraud;51000;51108;Châlons-en-Champagne;;;800182.03;6873015.47;4.367868;48.949293;;;CHALONS EN CHAMPAGNE;RUE DU GENERAL GIRAUD;commune;commune
51108139500003;511081395;3;;Rue du Général Jansen;51000;51108;Châlons-en-Champagne;;;799631.08;6874405.45;4.360674;48.961876;;;CHALONS EN CHAMPAGNE;RUE DU GENERAL JANSEN;commune;commune
51108139200011;511081392;11;;Rue du Général Jules Etienne Marie Forgeot;51000;51108;Châlons-en-Champagne;;;799603.16;6874738.08;4.360371;48.964871;;;CHALONS EN CHAMPAGNE;RUE DU GAL J E MARIE FORGEOT;commune;commune
51108142000001;511081420;1;;Rue du Général Maitrot;51000;51108;Châlons-en-Champagne;;;800494.81;6873850.84;4.372336;48.956755;;;CHALONS EN CHAMPAGNE;RUE DU GENERAL MAITROT;commune;commune
51108144700001;511081447;1;;Rue Georges Barbier;51000;51108;Châlons-en-Champagne;;;800445.14;6872312.34;4.371293;48.94293;;;CHALONS EN CHAMPAGNE;RUE GEORGES BARBIER;commune;commune
51108144800001;511081448;1;;Rue Georges Bizet;51000;51108;Châlons-en-Champagne;;;801013.49;6874636.21;4.379605;48.963735;;;CHALONS EN CHAMPAGNE;RUE GEORGES BIZET;commune;commune
51108145000002;511081450;2;;Rue Georges Clémenceau;51000;51108;Châlons-en-Champagne;;;799147.53;6874903.65;4.354188;48.96643;;;CHALONS EN CHAMPAGNE;RUE GEORGES CLEMENCEAU;commune;commune
51108145500001;511081455;1;;Rue Georges Danton;51000;51108;Châlons-en-Champagne;;;799789.08;6876028.48;4.363214;48.976444;;;CHALONS EN CHAMPAGNE;RUE GEORGES DANTON;commune;commune
51108146000001;511081460;1;;Rue Gérard Moulin;51000;51108;Châlons-en-Champagne;;;798008.85;6873090.9;4.338219;48.950306;;;CHALONS EN CHAMPAGNE;RUE GERARD MOULIN;commune;commune
51108147000001;511081470;1;;Rue Gobet Boisselle;51000;51108;Châlons-en-Champagne;;;799713.94;6873758.57;4.361653;48.956047;;;CHALONS EN CHAMPAGNE;RUE GOBET BOISSELLE;commune;commune
51108126800001;511081268;1;;Rue Gracchus Babeuf;51000;51108;Châlons-en-Champagne;;;799442.5;6876269.98;4.358537;48.978669;;;CHALONS EN CHAMPAGNE;RUE GRACCHUS BABEUF;commune;commune
51108151000001;511081510;1;;Rue Gramme;51000;51108;Châlons-en-Champagne;;;799326.49;6875368.74;4.356741;48.970584;;;CHALONS EN CHAMPAGNE;RUE GRAMME;commune;commune
51108152000001;511081520;1;;Rue Grande Etape;51000;51108;Châlons-en-Champagne;;;799959.64;6873947;4.365052;48.957703;;;CHALONS EN CHAMPAGNE;RUE GRANDE ETAPE;commune;commune
51108153000001;511081530;1;;Rue Gravissante;51000;51108;Châlons-en-Champagne;;;800083.28;6874407.59;4.366849;48.961825;;;CHALONS EN CHAMPAGNE;RUE GRAVISSANTE;commune;commune
51108154000001;511081540;1;;Rue Grenet Tellier;51000;51108;Châlons-en-Champagne;;;799813.6;6873607.14;4.362978;48.95467;;;CHALONS EN CHAMPAGNE;RUE GRENET TELLIER;commune;commune
51108156500002;511081565;2;;Rue du Groupe Bleu et Jonquille;51000;51108;Châlons-en-Champagne;;;800224.76;6875012.43;4.368924;48.967241;;;CHALONS EN CHAMPAGNE;RUE DU GROUPE BLEU ET JONQUILLE;commune;commune
51108156600001;511081566;1;;Rue du Groupe Libération Nord;51000;51108;Châlons-en-Champagne;;;801284.19;6871828.7;4.38263;48.93845;;;CHALONS EN CHAMPAGNE;RUE DU GROUPE LIBERATION NORD;commune;commune
51108156700001;511081567;1;;Rue du Groupe Melpomène;51000;51108;Châlons-en-Champagne;;;800510.99;6872502.33;4.372237;48.944628;;;CHALONS EN CHAMPAGNE;RUE DU GROUPE MELPOMENE;commune;commune
51108157000001;511081570;1;;Rue du Groupe Tritant;51000;51108;Châlons-en-Champagne;;;801246.48;6874521.94;4.382759;48.962671;;;CHALONS EN CHAMPAGNE;RUE DU GROUPE TRITANT;commune;commune
51108157300001;511081573;1;;Rue Guy Pérotin;51000;51108;Châlons-en-Champagne;;;797724.87;6873726.72;4.334489;48.956066;;;CHALONS EN CHAMPAGNE;RUE GUY PEROTIN;commune;commune
51108160000002;511081600;2;;Rue Haute de Compertrix;51000;51108;Châlons-en-Champagne;;;798815.38;6873076.71;4.349226;48.950055;;;CHALONS EN CHAMPAGNE;RUE HAUTE DE COMPERTRIX;commune;commune
51108162300001;511081623;1;;Rue Henri Moissan;51000;51108;Châlons-en-Champagne;;;798914.97;6872594.71;4.350473;48.945706;;;CHALONS EN CHAMPAGNE;RUE HENRI MOISSAN;commune;commune
51108164200001;511081642;1;;Rue Hippolyte Fizeau;51000;51108;Châlons-en-Champagne;;;798840.29;6872523.48;4.349437;48.945077;;;CHALONS EN CHAMPAGNE;RUE HIPPOLYTE FIZEAU;commune;commune
51108164500001;511081645;1;;Rue Hippolyte Fontaine;51000;51108;Châlons-en-Champagne;;;802782.18;6872373.98;4.403207;48.943115;;;CHALONS EN CHAMPAGNE;RUE HIPPOLYTE FONTAINE;commune;commune
51108164700001;511081647;1;;Rue de l’Hôpital Militaire;51000;51108;Châlons-en-Champagne;;;800846.34;6874566.89;4.377306;48.963138;;;CHALONS EN CHAMPAGNE;RUE DE L HOPITAL MILITAIRE;commune;commune
51108165900001;511081659;1;;Rue d’Ilkeston;51000;51108;Châlons-en-Champagne;;;801758.72;6872009.98;4.38915;48.940005;;;CHALONS EN CHAMPAGNE;RUE D ILKESTON;commune;commune
51108167300005;511081673;5;;Rue Irénée Dlévaque;51000;51108;Châlons-en-Champagne;;;801193.19;6871690.42;4.381355;48.937221;;;CHALONS EN CHAMPAGNE;RUE IRENEE DLEVAQUE;commune;commune
51108167500002;511081675;2;;Rue de l’Isle aux Bois;51000;51108;Châlons-en-Champagne;;;799198.93;6874622.47;4.354824;48.963894;;;CHALONS EN CHAMPAGNE;RUE DE L ISLE AUX BOIS;commune;commune
51108168300005;511081683;5;;Rue Jacques Duclos;51000;51108;Châlons-en-Champagne;;;800977.04;6871942.23;4.378465;48.939519;;;CHALONS EN CHAMPAGNE;RUE JACQUES DUCLOS;commune;commune
51108168500001;511081685;1;;Rue Jacques Mabille;51000;51108;Châlons-en-Champagne;;;798872.42;6872474.2;4.349864;48.944629;;;CHALONS EN CHAMPAGNE;RUE JACQUES MABILLE;commune;commune
51108168700001;511081687;1;;Rue Jacques Songy;51000;51108;Châlons-en-Champagne;;;800131;6874464.36;4.367514;48.962328;;;CHALONS EN CHAMPAGNE;RUE JACQUES SONGY;commune;commune
51108168800001;511081688;1;;Rue Jacques Thuriot;51000;51108;Châlons-en-Champagne;;;800038.69;6876074.28;4.366634;48.976817;;;CHALONS EN CHAMPAGNE;RUE JACQUES THURIOT;commune;commune
